symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
ES,2017-08-16,60.785300,60.857900,False,60.359400,60.591700,reg,836069
ES,2017-08-17,60.456200,60.949800,False,60.388500,60.833700,reg,1114049
ES,2017-08-18,61.037000,61.153100,False,60.069100,60.369100,reg,1481023
ES,2017-08-21,60.949900,61.153100,False,60.727300,61.095100,reg,1275310
ES,2017-08-22,60.891800,61.017600,False,60.630500,60.891800,reg,2193436
ES,2017-08-23,61.114400,61.162800,False,60.746600,60.920800,reg,1531577
ES,2017-08-24,60.949900,61.366100,False,60.911200,61.114400,reg,1394386
ES,2017-08-25,61.056300,61.351600,False,60.940200,61.027300,reg,1325430
ES,2017-08-28,61.240200,61.317700,False,60.969200,61.085400,reg,1147000
ES,2017-08-29,61.259600,61.627400,False,61.182200,61.375800,reg,647325
ES,2017-08-30,61.211200,61.404800,False,60.978900,61.298300,reg,883110
ES,2017-08-31,60.978900,61.424200,False,60.882100,61.269300,reg,1782221
ES,2017-09-01,60.562700,61.153100,False,60.504600,61.153100,reg,1102478
ES,2017-09-05,60.930500,60.940200,False,60.359400,60.611100,reg,1315758
ES,2017-09-06,60.601400,61.104700,False,60.456200,61.104700,reg,1769618
ES,2017-09-07,61.172500,61.240200,False,60.564600,60.756300,reg,1582249
ES,2017-09-08,61.453200,61.617700,False,60.940200,61.075700,reg,1127778
ES,2017-09-11,62.053300,62.130700,False,61.220900,61.404800,reg,1393913
ES,2017-09-12,60.630500,62.092000,False,60.359400,62.092000,reg,1288649
ES,2017-09-13,60.369100,60.785300,False,60.272300,60.562700,reg,1104532
ES,2017-09-14,61.027300,61.075700,False,60.156200,60.340100,reg,1445985
ES,2017-09-15,60.843400,61.143500,False,60.495000,60.795000,reg,2129562
ES,2017-09-18,60.165600,61.014100,False,59.697400,61.004300,reg,1450362
ES,2017-09-19,60.243600,60.399600,False,59.902200,60.214300,reg,1447286
ES,2017-09-20,59.960800,60.448400,False,59.629200,60.428900,reg,1573644
ES,2017-09-21,59.921800,60.321600,False,59.785200,59.960800,reg,1125424
ES,2017-09-22,59.209800,60.126600,False,59.170800,60.068000,reg,1678498
ES,2017-09-25,59.951000,60.029000,False,59.161000,59.278100,reg,1283643
ES,2017-09-26,59.824200,60.111900,False,59.668200,59.970500,reg,1218864
ES,2017-09-27,58.936700,59.677800,False,58.761200,59.531600,reg,1153213
ES,2017-09-28,59.073300,59.434100,False,58.527100,58.985500,reg,2710185
ES,2017-09-29,58.946500,59.229300,False,58.765600,59.005000,reg,3067600
ES,2017-10-02,58.887900,59.219500,False,58.790400,59.014700,reg,1300873
ES,2017-10-03,58.722100,58.897600,False,58.117500,58.819700,reg,1624956
ES,2017-10-04,59.287800,59.346300,False,58.585600,58.868400,reg,1585696
ES,2017-10-05,59.131800,59.336600,False,58.829400,59.317100,reg,1113634
ES,2017-10-06,58.887900,59.112300,False,58.644100,58.927000,reg,1593617
ES,2017-10-09,58.829400,59.175700,False,58.756300,58.946500,reg,1774299
ES,2017-10-10,59.161000,59.190300,False,58.595400,58.780700,reg,1637362
ES,2017-10-11,59.785200,59.902200,False,59.044000,59.453600,reg,1832871
ES,2017-10-12,60.146100,60.419200,False,59.599900,59.746200,reg,1757388
ES,2017-10-13,60.126600,60.663000,False,59.990000,60.438700,reg,1482702
